"LOC1(2.5,2.5)",,,,"2.5,5",,,,"2.5,7.5",,,,"5,2.5",,,,"5,5",,,,"5,7.5",,,,"7.5,2.5",,,,"7.5,5",,,,"6.85,7.5",,,,"0,0",,,,"0,7.5",,,,"7.5,0",,,
28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68,28:E8,1C:D6,3B:86,D8:68
-62,-73,-77,-69,-69,-66,-68,-62,-67,-77,-66,-77,-69,-68,-77,-72,-62,-78,-69,-80,-56,-73,-65,-67,-69,-66,-74,-61,-72,-69,-64,-80,-67,-78,-72,-89,-64,-57,-74,-71,-71,-76,-70,-66,-75,-69,-59,-73
-67,-77,-73,,-72,-68,-72,-68,-69,-75,-67,-73,-67,-70,-76,-77,-60,-77,-68,-72,-58,-78,-66,-63,-72,-70,-72,-78,-73,-80,-63,-78,-68,-79,-70,-74,-66,-63,-84,-61,-68,-74,75,-65,-72,-70,-60,-75
-63,-78,-65,-72,-78,-69,-71,-69,-67,-67,-65,-69,-65,-69,-72,-76,-61,-73,-71,-75,-55,-74,-73,-64,-70,-72,-71,-74,-72,-94,-62,-74,-69,-67,-74,-73,-64,-60,-63,-68,-70,-78,-74,-76,-74,-71,-58,-73
-67,-80,-64,-73,-67,-59,-58,-72,-68,-84,-67,-68,-64,-70,-70,-73,-60,-80,-72,-73,-54,-73,-62,-70,-69,-70,-75,-72,-74,-73,-61,-75,-66,-62,-73,-70,-68,-62,-65,-72,-68,-80,-84,-75,-72,-70,-60,-72
-63,-75,-63,-76,-64,-60,-60,-62,-69,-85,-63,-69,-75,-72,-86,-72,-59,-79,-71,-87,-55,-71,-63,63,-68,-62,-72,-71,-76,-71,-60,-76,-70,-71,-71,-76,-69,-64,-67,-69,-69,-94,-85,-71,-73,-71,-58,-73
-64,-65,-64,-71,-75,-64,-65,-63,-68,-77,-62,-90,-74,-73,-75,-71,-60,-76,-69,-76,-54,-72,-65,-68,-67,-67,-68,-82,-73,-75,-62,-77,-66,-78,-72,-75,-67,-63,-68,-70,-76,-76,-86,-67,-72,-70,-57,-71
-65,-70,-72,-72,-74,-67,-66,-69,-66,-78,-63,-84,-66,-69,-78,-72,-59,-72,-70,-74,-55,-76,-64,-62,-77,-66,-62,-83,-74,-76,-63,-84,-69,-70,-73,-86,-68,-64,-67,-72,-73,-74,-82,-66,-70,-67,-60,-70
-61,-69,-67,-73,-72,-65,-59,-68,-69,-79,-65,-82,-65,-68,-76,-74,-60,-77,-69,-75,-54,-75,-74,-70,-76,-67,-75,-60,-76,-73,-64,-73,-68,-81,-72,-89,-70,-62,-70,-71,-76,-73,-70,-73,-71,-68,-58,-72
-69,-66,-66,-73,-71,-66,-60,-66,-73,-67,-64,-72,-66,-69,-70,-77,-59,-76,-67,-76,-58,-76,-62,-71,-69,-68,-60,-74,-72,-72,-61,-72,-70,-77,-71,-72,-69,-61,-63,-72,-69,-77,-73,-72,-70,-67,-59,-76
-67,-68,-67,-69,-64,-65,-64,-67,-74,-66,-67,-69,-67,-73,-71,-74,-61,-73,-68,-73,-55,-73,-64,-77,-71,-71,-66,-72,-74,-74,-62,-92,-69,-70,-77,-76,-72,-62,-62,-68,-70,-98,-75,-75,-81,-66,-60,-75
-62,-67,-62,-68,-74,-62,-65,-64,-70,-81,-62,-70,-63,-71,-70,-74,-59,-74,-71,-76,-53,-75,-73,-67,-70,-70,-69,-71,-76,-69,-60,-84,-70,-68,-76,-75,-71,-68,-63,-71,-69,-89,-88,-64,-82,-64,-71,-74
-66,-68,-64,-77,-71,-64,-66,-69,-69,-80,-63,-82,-64,-67,-78,-77,-60,-77,-72,-74,-54,-77,-75,-68,-67,-69,-64,-75,-71,-64,-61,-78,-69,-71,-73,-76,-70,-70,-62,-72,-70,-90,-89,-73,-75,-70,-70,-71
-72,-65,-63,-75,-70,-63,-65,-70,-68,-84,-65,-78,-77,-68,-76,-78,-59,-74,-73,-75,-58,-76,-75,-67,-66,-63,-60,-74,-74,-77,-63,-69,-71,-69,-74,-90,-69,-67,-75,-73,-76,-85,-72,-72,-76,-69,-58,-72
-62,-71,-73,-82,-69,-64,-64,-67,-70,-83,-64,-74,-78,-70,-71,-80,-58,-73,-69,-78,-53,-74,-62,-62,-67,-64,-63,-76,-73,-76,-62,-71,-70,-71,-70,-92,-68,-64,-71,-72,-77,-76,-80,-68,-71,-72,-60,-71
-63,-74,-65,-81,-70,-61,-78,-66,-67,-67,-68,-70,-68,-74,-69,-76,-59,-76,-66,-77,-55,-75,-64,-63,-70,-65,-62,-83,-74,-77,-63,-78,-69,-76,-73,-71,-70,-62,-66,-73,-76,-73,-76,-75,-80,-67,-71,-73
-65,-68,-68,-62,-75,-64,-76,-64,-69,-68,-63,-77,-65,-73,-72,-79,-60,-74,-67,-78,-53,-74,-77,-64,-71,-64,-60,-84,-76,-75,-62,-77,-68,-77,-76,-69,-71,-63,-61,-68,-70,-77,-77,-66,-81,-72,-70,-76
-73,-69,-62,-72,-66,-62,-63,-63,-67,-78,-66,-78,-63,-71,-77,-75,-62,-75,-68,-77,-55,-71,-76,-63,-69,-65,-59,-86,-76,-76,-63,-82,-73,-78,-77,-76,-69,-62,-60,-67,-79,-96,-90,-64,-76,-71,-58,-77
-63,-74,-63,-80,-64,-61,-64,-66,-69,-77,-67,-71,-75,-71,-80,-73,-60,-71,-72,-74,-54,-72,-63,-70,-68,-66,-60,-73,-79,-69,-64,-84,-70,-76,-75,-95,-70,-63,-63,-68,-78,-90,-82,-74,-75,-68,-60,-72
