pointModel__indoorLevel,pointModel__lat,pointModel__long,beaconDataList__name,beaconDataList__uuid,beaconDataList__macAddress,beaconDataList__major,beaconDataList__minor,beaconDataList__distance,beaconDataList__proximity,beaconDataList__rssi,beaconDataList__txPower,beaconDataList__scanTime
0,36.89834535,30.64736529,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.04,Near,-65,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.16,Near,-59,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.66,Near,-62,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.04,Near,-65,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.17,Near,-68,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.15,Near,-64,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-77,-60,3/11/2022 11:35
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.1,Near,-59,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.09,Near,-61,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.68,Near,-74,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.06,Near,-77,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.12,Near,-62,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.21,Near,-70,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-72,-60,3/11/2022 11:35
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.1,Near,-70,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.06,Near,-60,-60,3/11/2022 11:35
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.63,Near,-62,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-72,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.18,Near,-76,-60,3/11/2022 11:35
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.22,Near,-61,-60,3/11/2022 11:35
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-70,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.14,Near,-71,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:2C:1C:D6,1000,1149,1.02,Near,-59,-60,3/11/2022 11:36
,,,null,edae28d6-489b-446c-af10-6663fb553136,A0:E6:F8:40:3B:86,1000,1027,1.63,Near,-75,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.07,Near,-70,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D9:29,1000,1143,1.18,Near,-65,-60,3/11/2022 11:36
,,,null,a849c1ed-ad3c-4e8f-a571-089dae67cccc,A0:E6:F8:3F:D8:68,1000,1168,1.25,Near,-68,-60,3/11/2022 11:36
,,,Aruba,4152554e-f99b-4a3b-86d0-947070693a78,B0:91:22:4B:1A:6A,0,0,1.09,Near,-57,-60,3/11/2022 11:36
,,,null,383e5cf9-6c79-4e7b-902d-f6a8743d178f,A0:E6:F8:40:28:E8,1000,1056,1.15,Near,-68,-60,3/11/2022 11:36
